date,IRO1RINM0001,IRO1KCHI0001,IRO1PSIR0001,IRO1ZMYD0001,IRO1OFRS0001,IRO1TRIR0001,IRO1DJBR0001,IRO1DSBH0001,IRO1GPSH0001,IRO1SGOS0001,IRO1PAKS0001,IRO1DKSR0001,IRO1KSIM0001,IRO1MHKM0001,IRO1SSEP0001,IRO1SHFS0001,IRO1PMSZ0001,IRO1MNGZ0001,IRO1FRVR0001,IRO1SSHR0001,IRO1KIMI0001,IRO1HJPT0001,IRO1EPRS0001,IRO1SSIN0001,IRO1GNBO0001,IRO1SBEH0001,IRO1SHMD0001,IRO1SHPZ0001,IRO1ASAL0001,IRO1BARZ0001,IRO1FOLD0001,IRO1DOSE0001,IRO1BAMA0001,IRO1SORB0001,IRO1NALM0001,IRO1EXIR0001,IRO1MSMI0001,IRO1SHKR0001,IRO1HMRZ0001,IRO1RTIR0001,IRO1TBAS0001,IRO1HTOK0001,IRO1MAGS0001,IRO1GTSH0001,IRO1ABAD0001,IRO1PRDZ0001,IRO1TRNS0001,IRO1FKHZ0001,IRO1TKSM0001,IRO1DPAK0001,IRO1NMOH0001,IRO1PARK0001,IRO1SAHD0001,IRO1DSIN0001,IRO1DRZK0001,IRO1DALZ0001,IRO1INFO0001,IRO1SYSM0001,IRO1TKIN0001,IRO1BAHN0001,IRO1LEAB0001,IRO1GOLG0001,IRO1MINO0001,IRO1FAIR0001,IRO1AZIN0001,IRO1GESF0001,IRO1IRDR0001,IRO1KHSH0001,IRO1NKOL0001,IRO1SDAB0001,IRO1NBEH0001,IRO1AMIN0001,IRO1SKER0001,IRO1STEH0001,IRO1SROD0001,IRO1CHML0001,IRO1SGRB0001
1/1/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2013,-0.021978022,,0.015702479,0,-0.054108216,0.017282765,-0.006609642,-0.000212766,-0.033333333,,-0.022857143,-0.00330033,0.003529412,0.007058824,0.007554297,0.049872419,0.016863406,0.036389831,0.004016064,0.007905138,0.036764706,-0.000650195,0,-0.025436826,-0.021544118,-0.026332122,0.045831515,0.023054755,0.021428571,0.02402746,-0.009230769,-0.000180343,-0.01656868,-0.003535841,0.001068757,0,-0.012875,0.014173228,-0.010336624,,0.018894332,0.028174377,0.036082929,,-0.015151515,0.008173053,-0.015909091,-0.005235602,0.013306039,0,0.047115385,-0.03033954,0.000750751,0.021194605,0.004765214,-0.000696864,-0.019354839,0.009592326,-0.037508846,-0.013846154,0.047529852,-0.024178255,0.03654224,0.001834189,0.020930233,0.012968681,-0.008681926,0,0.016303197,-0.001086366,0.001947592,0.011791556,0.020833333,0.022272727,0.04613979,-0.000241935,0.024653675
1/6/2013,0.001248439,0,0.032139951,-0.024806202,-0.003531073,0.004719207,-0.004696673,0.021493935,0.044827586,,0.057894737,-0.038410596,-0.039976553,-0.002336449,-0.037488285,-0.00353513,-0.01050304,-0.050403587,-0.0424,0,0,-0.013012362,-0.00621118,-0.005671642,-0.035319757,-0.037333819,0.037979967,0,0.027972028,-0.013035382,-0.02484472,-0.025974026,-0.014782609,-0.019032258,-0.03202847,0,-0.037735849,-0.020186335,-0.026760264,,0.019917582,-0.013145714,0.022820163,,0.02,-0.029045307,0.006928406,-0.01866368,0.025252525,0.060982604,0.000918274,-0.037162544,-0.009752438,-0.058396226,-0.0110661,-0.02458159,0.013157895,-0.010688836,-0.007352941,-0.033541342,0.031291909,-0.026963563,-0.021986353,0,-0.020501139,-0.021657086,0.040339703,-0.016666667,0,-0.008156607,0.004947871,-0.029323308,0,-0.044908848,-0.029694323,-0.039606356,-0.010311641
1/7/2013,-0.003740648,0,0.033898305,-0.014308426,-0.030474841,-0.027712541,-0.002359418,-0.004166667,0.00640264,,0.014096186,0.026170799,0.01941629,0.004683841,0.032132425,0.001108647,-0.022346369,0.005902909,0.037315511,0.008823529,-0.007092199,-0.003295979,0.011,-0.005741519,0.020331853,-0.014093833,-0.011258544,-0.014084507,-0.017384732,0,0.012738854,-0.001574074,0.011694616,0.002301874,0.035294118,0,0.019871036,0,0.028370344,,-0.034343434,-0.003752345,0.03996004,0.043289474,0.025641026,0.018248479,0.018348624,0.038379612,0.039408867,-0.064684685,0.040366972,0.019591741,-0.012878788,0.002103998,0.033869517,0.036461126,-0.022857143,0.032412965,0.01962963,-0.030669895,0.000216732,0.001913955,-0.010852713,0,-0.039534884,-0.002967359,0,-0.028813559,0.0375,0,0.039915597,0,-0.043265306,-0.008379888,-0.00090009,0.024693432,-0.015744385
1/8/2013,0.050062578,0,0.038886771,0.009677419,-0.001461988,-0.009661836,-0.000788333,-0.000104603,0.021250082,-0.031055901,-0.013627691,-0.026174497,0.014614279,-0.002331002,-0.028301887,0,-0.007428571,0.032345899,-0.009798658,-0.028182702,0.000714286,-0.020502646,-0.010880317,0.019041329,0.01145213,0.016981675,-0.023993493,-0.028571429,-0.014615385,0.003396226,0.004192872,0,-0.007633588,-0.015748031,0.002130682,-0.000350385,0.003870968,0,-0.001062699,0,-0.028242678,0.003389831,0.039985591,0.015260436,-0.010294118,0.013895254,0.003153153,-0.007289644,0.002843602,-0.004816028,0.002645503,0.012196525,0.013046815,-0.00019996,-0.006571318,0.025866529,-0.009835194,0,0.03668725,0.03080766,-0.026435536,0.021594684,0.051724138,0,-0.012106538,-0.014583333,0,-0.020942408,-0.002008032,-0.002741228,0.039905309,-0.00813323,0.000213311,-0.020187793,-0.009009009,0.016393443,-0.033874382
1/9/2013,-0.0488677,0,-0.012844037,0.003194888,0.009516837,-0.009756098,0.000394477,0.012553614,0,-0.019230769,-0.032882012,-0.012405238,0.008854782,-0.028037383,-0.004854369,0,-0.00115141,-0.031286949,0.008540057,0.005,-0.029264811,0.035786631,0,0.004648234,0.002415459,-0.004716981,-0.0125,0.057352941,-0.008587041,0.008273787,0.018789144,0,-0.010989011,-0.004,0.004252303,0,-0.007712082,-0.033280507,-0.001021277,0,0.015069968,0.01539039,-0.007043067,0.00931677,-0.017830609,0.024956012,-0.02155366,0.016568266,-0.019848771,-0.00058072,-0.031662269,-0.000795726,-0.008333333,0.0006,0.00077821,-0.025214322,0.023489933,-0.000465116,-0.036440084,0.042003231,-0.036278656,0.023739837,0.013412817,0,0.004901961,0.041467834,-0.041326531,-0.001782531,0.006036217,0,0.023495935,0,0.01172958,0.01293723,0,0.014516129,-0.009009009
1/13/2013,-0.01754386,0,-0.044981413,-0.049363057,-0.026105874,0.004433498,-0.020504732,0.000826532,0,-0.009150327,-0.02,-0.00418702,-0.013458163,0.009615385,-0.014634146,0.173864895,-0.020172911,0.032766876,-0.014919355,-0.014925373,-0.008088235,0.016949153,0,-0.004571429,-0.047439759,-0.032701422,-0.001687764,0.016689847,-0.031496063,0.028347631,-0.003893443,0,-0.017555556,-0.038487282,-0.039872971,0,0.00738342,-0.023114754,-0.020276027,-0.039845758,0.001413927,-0.020332717,-0.030542636,0.021538462,-0.031013616,0.020552799,-0.031665902,3.63E-05,-0.027965284,-0.00232423,0.006357856,0.009101251,-0.004583652,0.002798321,-0.027507776,-0.042421107,-0.016393443,-0.069101908,0.018181818,0.027131783,-0.006928406,0.020012706,-0.017279412,0,-0.024390244,0.026592814,0,-0.008928571,0.015,0,0.017555008,0,0,-0.006622517,0.004545455,0.017408585,-0.014742015
1/14/2013,-0.035714286,-0.000230238,-0.034254574,-0.045226131,0.000744602,0.004413928,-0.033413849,-0.019407453,0,-0.013192612,0.005830904,0.000700771,0.005931198,-0.023809524,-0.00990099,0.058490566,-0.011764706,-0.005,-0.010779097,-0.013131313,0.008154188,-0.067307692,0.000125,-0.00905522,-0.040632411,-0.02988731,0.020287405,0.025991792,-0.002439024,0.00943054,0.041760955,0,0.011083465,-0.020187957,-0.010657846,0.083070452,0.003728944,0,0,0,0.006000706,-0.033584906,-0.016472093,-0.030120482,-0.007025761,0.003719136,0.036018957,0.003303085,-0.02281746,-0.000582411,-0.007220217,0.046223224,-0.010744436,0.002192545,0.028985507,-0.005222402,0.0168,0.024743814,0,-0.044528302,0.002325581,0.038072252,-0.009726899,0,-0.0225,-0.022542373,0,-0.018018018,0.004926108,0,0.015846995,0,-0.018338954,-0.01047619,-0.004072398,0.043128369,-0.001745636
1/15/2013,-0.007936508,0,0.047158404,0.005263158,0,-0.008789063,0.005830904,-0.062532898,0,0.042780749,-0.014492754,-0.00280112,-0.031839623,-0.004878049,0.06,-0.037433155,0.011904762,-0.038328004,-0.015034483,0.064483112,-0.013970588,-0.000687285,-0.000124984,0.000728795,0,-0.00020202,0.045981773,-0.048,0.002444988,0.001437298,-0.010663507,0,0.006599553,-0.031616341,-0.006686478,-0.029126214,-0.008455035,0,-0.010869565,0,0,-0.016009371,0.031056911,-0.00621118,-0.039308176,-0.023692748,0.006861848,0.002279223,-0.025380711,-0.001359751,-0.000909091,0.023599138,0.004654771,0.004574383,-0.027294803,-0.00615496,-0.031602413,-0.012195122,0.01,-0.033175355,0.013457077,0.03360084,-0.000755572,0,0,-0.002947806,0,-0.001834862,-0.019607843,0.000274876,0.002382233,-0.006638032,0.061842388,0.055822907,0.010449796,-0.003819939,0.046714964
1/16/2013,-0.010666667,-0.000921164,0,0.038394415,0,0.004926108,0.004140787,0.03874228,0,-0.046794872,0.017647059,0.001404494,0.004263094,0.026960784,-0.011320755,-0.003703704,-0.029411765,0.040140611,0.018204733,-0.054807692,0.043997017,-0.015818432,-0.0125,0.002763669,0,-0.040210143,0.037227723,0.019607843,-0.066666667,0.000717618,0.001996008,-0.000834647,0.008000889,-0.000733676,0,0,-0.01744186,0,0,0,-0.044561404,0.030753968,0.006426431,0.037375,-0.018003273,0.011023622,-0.009541118,0.015196362,0.070833333,0,-0.008189263,0.030108432,-0.005405405,0.019600079,-0.020071899,-0.005282332,0.018957346,0,-0.034653465,-0.035947712,-0.013278388,0.038023366,-0.032514178,0,0.023017903,0.043101449,0,0.045955882,-0.023,0.043693322,0.00275989,0,-0.039433771,-0.006836828,0.027428058,0.052631579,0.009785203
