,getIVP,getHRP,getMV,getOneOverN
0,1.984765656,4.536885561,5.478172524,1.054950624
1,8.897447488,9.773872111,5.885253938,6.548391955
2,14.40373176,11.28998568,9.126351673,8.187901003
3,3.756809444,2.401445061,1.180577712,6.699765802
4,-0.594481266,0.465548967,1.734666507,-1.206016868
5,5.418882047,5.974220178,6.644922423,4.715031079
6,-4.081523256,-3.934232198,-5.823432149,-2.573803868
7,2.041722851,0.876771901,-2.844979078,5.37641176
8,-0.253328467,0.972910604,1.707208521,0.698065329
9,4.83508359,4.304597502,2.417762379,7.004465737
10,-0.568210887,0.134860634,1.855817605,-1.996433257
11,-2.486515337,-2.52276219,-1.425973253,-3.435966102
12,-0.080924726,-0.746486797,-1.22762549,3.346481701
13,6.441606238,9.657124176,7.408573346,6.973033239
14,-0.862748525,-0.770396288,-0.896625284,0.252154549
15,4.002339363,6.549745145,5.360437883,4.953516811
16,-2.489222326,-2.82078431,-3.522643239,-3.58745673
17,4.952415531,7.918829807,5.743860696,8.103185495
18,4.584761479,5.444771161,7.097197916,5.110871858
19,2.525914508,3.413482544,1.793331269,2.686904106
20,1.442380417,2.330727175,1.964512009,-0.635429712
21,1.675462882,1.971248251,1.948176797,1.578094197
22,1.309545656,2.316313728,2.954111042,0.816418311
23,0.127146204,0.771347204,1.282737416,0.675737753
24,7.624153596,9.102732567,12.52972755,5.534190171
25,1.417151056,3.917307311,3.300574011,-3.295499694
26,1.359903721,2.902246271,4.057212072,-3.135531747
27,1.184757187,0.66569197,-0.181744328,0.711091414
28,7.210872314,8.93298014,4.644967975,4.560561812
29,1.621248433,1.9443212,2.487436696,1.591435538
30,5.394892309,7.310025029,6.848991637,1.821438634
31,1.374212015,1.250365184,1.203616115,-0.742746873
32,2.576353655,3.158330048,6.151958476,5.409329126
33,2.673097185,2.623940097,3.151367515,1.004412146
34,10.09220419,9.294172371,6.521143838,9.383206069
35,-3.140380139,-2.225396281,-0.189466091,-5.344245838
36,2.150691185,1.857905471,1.404616137,3.463628193
37,-1.970209837,-1.6653267,-3.246238606,-1.577040238
38,2.570326672,4.305383759,4.316515889,3.473279096
39,4.533544379,5.9341426,7.545292011,1.290637864
40,0.199004856,2.263504154,7.499708754,-1.181778149
41,8.608371329,8.837017401,4.849137209,7.720046229
42,2.537209379,2.354794083,2.561623463,2.831031983
43,4.494286651,4.009820903,2.706130626,7.150547165
44,3.499811758,2.802572483,1.199905983,2.289077803
45,8.110985264,7.165772376,7.362199075,4.551580533
46,2.069264726,1.518926633,-1.616013464,5.073196721
47,-1.72718523,-1.53010794,-3.541616684,-0.545768289
48,1.226381687,2.571575973,1.669835234,-0.301097571
49,1.647068754,1.551561951,-0.796895172,8.743919113
50,10.5405614,11.16602122,12.4490174,9.839696417
51,1.257102608,1.305825056,4.33510736,-0.622700636
52,1.11333169,1.498321924,2.414319043,4.589160012
53,1.078693485,2.512198223,2.729615493,-3.162203758
54,1.843366476,2.802136706,4.529563508,1.966655768
55,3.709569596,2.869327059,4.858355871,3.374746246
56,1.987246162,2.120972815,5.895236146,1.752229365
57,2.26555894,4.813589221,5.996604383,-1.357106155
58,2.332796238,2.643343083,3.243026786,1.311725447
59,4.003975273,4.650844792,10.08628986,1.723574836
60,0.138734292,0.820479587,-0.644202948,-3.041246608
61,12.90534616,12.85906751,11.87849875,11.27655123
62,5.665845519,4.546184123,3.309799943,4.595319476
63,-7.692083948,-7.828085934,-8.446841069,-6.120446797
64,4.863536458,4.213329842,1.238762739,3.924388439
65,5.418025244,3.320135883,-0.361522018,3.216253055
66,6.081897802,6.914548673,1.759810662,1.571396967
67,-0.207134684,1.345112411,2.815610321,-1.963610271
68,0.124911638,2.038147158,5.922738501,2.961165361
69,1.240271059,0.525958112,0.040809981,2.168532724
70,-1.013818835,1.148926081,3.548190042,-0.988751932
71,0.118710728,-0.11392091,-1.300017368,-2.40779005
72,-3.399371901,-3.946818694,-3.136480201,-0.330083228
73,3.244169772,4.754945763,4.807386567,0.777304141
74,3.018754174,2.494073848,3.015047066,3.100956912
75,-2.761243142,-2.317531889,-1.828225917,-2.53916218
76,0.140449088,1.471726226,2.199114584,4.745635048
77,0.989072851,2.33374686,3.876519184,-0.191413983
78,3.187701624,2.954634019,3.246512009,4.930982022
79,7.694129577,7.500904349,6.691192286,10.38894331
80,11.82352786,8.589068972,8.535875334,7.565248568
81,0.936134632,2.197172437,4.199494919,-1.661885118
82,3.596900386,2.696365439,3.367409594,4.521662104
83,3.456975695,3.449087158,3.042826034,6.324064564
84,-2.85741358,-3.341551119,-4.811793713,0.035975904
85,3.388726794,4.191945043,7.983984709,-1.307339436
86,7.120996828,8.022768141,10.46491284,9.605613937
87,-3.334699834,-2.853119303,-2.220903194,-2.735843817
88,-1.945213205,-0.884133362,0.65378823,-4.614340033
89,-1.915349093,-1.28217625,-1.763280543,-0.883901298
90,-2.422098443,-1.986625176,-0.857268527,-2.844330573
91,2.400705437,2.383084156,-0.129318392,4.037799397
92,6.348407272,7.243246034,7.455757668,9.529651973
93,4.824921529,6.495149933,6.463481372,2.802208806
94,5.925732529,5.478170799,-1.530838408,7.230603092
95,-1.849192545,-1.919824643,-2.369874017,-0.899266408
96,2.557663003,3.947027457,6.226830775,1.330545039
97,6.234661066,5.814279377,2.670943871,0.740932034
98,-1.501526842,0.10239975,2.741534168,0.559536513
99,-0.216165663,0.656568783,3.3942986,-1.148804203
100,7.951271187,7.511455166,1.986783607,2.107770159
101,6.126909721,6.348066359,-0.459003444,1.664077175
102,8.777283557,9.527175192,9.729407003,5.313229133
103,9.189954071,10.24350406,6.699948195,5.120152556
104,-2.262456637,-2.227644883,-2.716948368,-3.550675736
105,2.107775859,3.645606986,5.565748309,-2.202934518
106,6.588457867,6.989359033,4.610774506,4.871837975
